BOARDID;SECID;TRADEDATE;SHORTNAME;NAME;CLOSE;OPEN;HIGH;LOW;VALUE;DURATION;YIELD;DECIMALS;CAPITALIZATION;CURRENCYID;DIVISOR;TRADINGSESSION;VOLUME
SNDX;IMOEX;13.04.2017;Индекс МосБиржи;Индекс МосБиржи;1944,7;1954,39;1954,81;1916,67;40271297242;;;2;9300752632691,1;RUB;4782605957,6012;3;
SNDX;IMOEX;14.04.2017;Индекс МосБиржи;Индекс МосБиржи;1916,29;1943,65;1943,65;1913,71;12663595568;;;2;9164877241695,66;RUB;4782605957,6012;3;
SNDX;IMOEX;17.04.2017;Индекс МосБиржи;Индекс МосБиржи;1942,72;1917,13;1944,93;1902,48;19625706303;;;2;9291259397959,13;RUB;4782605957,6012;3;
SNDX;IMOEX;18.04.2017;Индекс МосБиржи;Индекс МосБиржи;1920,29;1944,28;1949,52;1914,44;27847626929;;;2;9184010171726,14;RUB;4782605957,6012;3;
SNDX;IMOEX;19.04.2017;Индекс МосБиржи;Индекс МосБиржи;1916,5;1920,19;1932,81;1911,35;25154193665;;;2;9165848988836,14;RUB;4782605957,6012;3;
SNDX;IMOEX;20.04.2017;Индекс МосБиржи;Индекс МосБиржи;1932,17;1912,7;1932,25;1900,72;34345740913;;;2;9240788186694,62;RUB;4782605957,6012;3;
SNDX;IMOEX;21.04.2017;Индекс МосБиржи;Индекс МосБиржи;1944,72;1932,82;1955,43;1932,82;30898651747;;;2;9300841146194,49;RUB;4782605957,6012;3;
SNDX;IMOEX;24.04.2017;Индекс МосБиржи;Индекс МосБиржи;1979,57;1954,31;1979,76;1954,31;35120007104;;;2;9467495480903,22;RUB;4782605957,6012;3;
SNDX;IMOEX;25.04.2017;Индекс МосБиржи;Индекс МосБиржи;1998,41;1983,23;2002,37;1969,04;33295013120;;;2;9557608123082,91;RUB;4782605957,6012;3;
SNDX;IMOEX;26.04.2017;Индекс МосБиржи;Индекс МосБиржи;2026,92;2000,8;2031,08;1994,52;35691294323;;;2;9693952241905,07;RUB;4782605957,6012;3;
SNDX;IMOEX;27.04.2017;Индекс МосБиржи;Индекс МосБиржи;2011,67;2024,49;2024,49;2005,35;39587702578;;;2;9621015529869,72;RUB;4782605957,6012;3;
SNDX;IMOEX;28.04.2017;Индекс МосБиржи;Индекс МосБиржи;2016,71;2021,74;2031,06;2011,02;36350344528;;;2;9645140922766,26;RUB;4782605957,6012;3;
SNDX;IMOEX;02.05.2017;Индекс МосБиржи;Индекс МосБиржи;2026,85;2022,19;2044,24;2020,55;31117806259;;;2;9693636767761,64;RUB;4782605957,6012;3;
SNDX;IMOEX;03.05.2017;Индекс МосБиржи;Индекс МосБиржи;1993,66;2024,4;2027,65;1992,33;35180986733;;;2;9534875477546,33;RUB;4782605957,6012;3;
SNDX;IMOEX;04.05.2017;Индекс МосБиржи;Индекс МосБиржи;1998,87;1994,16;2015,61;1989,44;30938975811;;;2;9559819144017,66;RUB;4782605957,6012;3;
SNDX;IMOEX;05.05.2017;Индекс МосБиржи;Индекс МосБиржи;2002,41;1989,88;2002,41;1982,97;25800797651;;;2;9576732407575,88;RUB;4782605957,6012;3;
SNDX;IMOEX;10.05.2017;Индекс МосБиржи;Индекс МосБиржи;2028,21;2012,84;2028,21;2005,4;31628194140;;;2;9700114039074,82;RUB;4782605957,6012;3;
SNDX;IMOEX;11.05.2017;Индекс МосБиржи;Индекс МосБиржи;2002,54;2028,26;2028,58;1991,81;31574420991;;;2;9577337106939,73;RUB;4782605957,6012;3;
SNDX;IMOEX;12.05.2017;Индекс МосБиржи;Индекс МосБиржи;1994,58;2003,92;2004,03;1983,83;24917567498;;;2;9539294740619,05;RUB;4782605957,6012;3;
SNDX;IMOEX;15.05.2017;Индекс МосБиржи;Индекс МосБиржи;2003,12;1995,6;2008,11;1984,06;31075420850;;;2;9580145460381,04;RUB;4782605957,6012;3;
SNDX;IMOEX;16.05.2017;Индекс МосБиржи;Индекс МосБиржи;1992,94;2000,2;2002,25;1987,21;30635088434;;;2;9531435666167,13;RUB;4782605957,6012;3;
SNDX;IMOEX;17.05.2017;Индекс МосБиржи;Индекс МосБиржи;1994,35;1989,02;1999,56;1982,97;25668959798;;;2;9538175176266,04;RUB;4782605957,6012;3;
SNDX;IMOEX;18.05.2017;Индекс МосБиржи;Индекс МосБиржи;1967,66;1989,05;1996,85;1961,2;40953029940;;;2;9410526911378,8;RUB;4782605957,6012;3;
SNDX;IMOEX;19.05.2017;Индекс МосБиржи;Индекс МосБиржи;1962,4;1969,73;1977,03;1954,32;31187471685;;;2;9385372148771,65;RUB;4782605957,6012;3;
SNDX;IMOEX;22.05.2017;Индекс МосБиржи;Индекс МосБиржи;1950,51;1966,66;1966,66;1941,78;23602706319;;;2;9328534984743,57;RUB;4782605957,6012;3;
SNDX;IMOEX;23.05.2017;Индекс МосБиржи;Индекс МосБиржи;1960,16;1950,27;1966,19;1945,5;27659608068;;;2;9374653248198,68;RUB;4782605957,6012;3;
SNDX;IMOEX;24.05.2017;Индекс МосБиржи;Индекс МосБиржи;1951,98;1958,22;1965,95;1936,99;28695792399;;;2;9335543565910,07;RUB;4782605957,6012;3;
SNDX;IMOEX;25.05.2017;Индекс МосБиржи;Индекс МосБиржи;1947,26;1955,83;1960,95;1939,97;25550829769;;;2;9312956999894,43;RUB;4782605957,6012;3;
SNDX;IMOEX;26.05.2017;Индекс МосБиржи;Индекс МосБиржи;1934,25;1944,16;1945,03;1930,76;30647468029;;;2;9250772651589,72;RUB;4782605957,6012;3;
SNDX;IMOEX;29.05.2017;Индекс МосБиржи;Индекс МосБиржи;1940,77;1934,66;1945,82;1931,45;20422932144;;;2;9281943672238,14;RUB;4782605957,6012;3;
SNDX;IMOEX;30.05.2017;Индекс МосБиржи;Индекс МосБиржи;1932,91;1938,06;1939,74;1927,28;25322211657;;;2;9244368079225,21;RUB;4782605957,6012;3;
SNDX;IMOEX;31.05.2017;Индекс МосБиржи;Индекс МосБиржи;1900,38;1934,03;1936,65;1893,39;71545660505;;;2;9088758213933,63;RUB;4782605957,6012;3;
