Date,Income,Outcome,Balance
2017-07-21 00:00:00.000,"1,310167488","1,34E+00","-0,03746212816"
2017-07-22 00:00:00.000,0,0,0
2017-07-23 00:00:00.000,0,0,0
2017-07-24 00:00:00.000,"1,40E+00","2,26E+00","-0,8761677704"
2017-07-25 00:00:00.000,"1,42E+00","1,40E+00","0,03114735082"
2017-07-26 00:00:00.000,"0,9712781958","1,53E+00","-0,5618687674"
2017-07-27 00:00:00.000,"1,33E+00","1,137148014","0,1951237766"
2017-07-28 00:00:00.000,"1,098768274","1,34E+00","-0,2462296932"
2017-07-29 00:00:00.000,0,0,0
2017-07-30 00:00:00.000,0,0,0
2017-07-31 00:00:00.000,"1,55E+00","1,58E+00","-0,03414020271"
2017-08-01 00:00:00.000,"1,093634053","1,247560906","-0,1539268533"
2017-08-02 00:00:00.000,"1,32E+00","1,101874863","0,216099086"
2017-08-03 00:00:00.000,"1,240488167","0,9218293349","0,318658832"
2017-08-04 00:00:00.000,"1,183311646","0,9987325573","0,1845790887"
2017-08-05 00:00:00.000,0,0,0
2017-08-06 00:00:00.000,0,0,0
2017-08-07 00:00:00.000,"1,41E+00","1,243966396","0,1674088706"
2017-08-08 00:00:00.000,"1,135498342","1,077311238","0,05818710399"
2017-08-09 00:00:00.000,"1,053953275","1,152129831","-0,0981765553"
2017-08-10 00:00:00.000,"1,189337592","1,275169951","-0,08583235925"
2017-08-11 00:00:00.000,"1,202165294","1,08540726","0,1167580344"
2017-08-12 00:00:00.000,0,0,0
2017-08-13 00:00:00.000,0,0,0
2017-08-14 00:00:00.000,"1,263492253","1,298052623","-0,03456037003"
2017-08-15 00:00:00.000,"1,284630471","1,275099223","0,009531248654"
2017-08-16 00:00:00.000,"1,014395065","1,19434174","-0,1799466757"
2017-08-17 00:00:00.000,"1,125070108","0,9431859993","0,181884109"
2017-08-18 00:00:00.000,"1,049687428","0,9341117231","0,1155757046"
2017-08-19 00:00:00.000,0,0,0
2017-08-20 00:00:00.000,0,0,0
2017-08-21 00:00:00.000,"1,281748788","1,203060886","0,07868790238"
2017-08-22 00:00:00.000,"1,007790055","1,084271148","-0,07648109322"
